time,temperature,power,door_open
69,-1.769991775,0.323441907,0
70,-1.979771026,0.415083733,0
71,-2.030949012,0.150182217,0
72,-1.648782577,0.429085693,0
73,-1.837003982,0.578190434,0
74,-2.083766665,0.29415133,0
75,-1.875874598,0.363771015,0
76,-2.052795701,0.493078565,0
77,-2.020710927,0.414839631,0
78,-2.253944772,0.251108334,0
79,-2.036693826,0.329066265,0
80,-2.064243916,0.395446585,0
81,-2.225391176,0.29310536,0
82,-1.998277208,0.30427258,0
83,-1.984492318,0.422478852,0
84,-2.108767678,0.436020845,0
85,-2.316163283,0.282550198,0
86,-2.120236034,0.315222266,0
87,-2.119077465,0.353636143,0
88,-2.201394497,0.278491875,0
89,-2.01744472,0.276041028,0
90,-1.872331848,0.256639135,0
91,-1.651171851,0.244176572,0
92,-1.830117829,0.549931514,0
93,-2.017288695,0.302449998,0
94,-1.958977335,0.373874919,0
95,-1.891475327,0.508158119,0
96,-2.174670453,0.262946978,0
97,-2.074339744,0.404977766,0
98,-1.988134877,0.386369523,0
99,-2.013972494,0.34563729,0
100,-2.133758637,0.283763321,0
101,-2.073606148,0.419441897,0
102,-2.115581288,0.37626742,0
103,-2.126360933,0.154917231,0
104,-2.181300307,0.211489254,0
105,-1.817800155,0.551253462,0
106,-1.970910071,0.333550476,0
107,-2.026788753,0.430434642,0
108,-1.948854545,0.445484285,0
109,-2.30568347,0.112009461,0
110,-1.874690521,0.380954455,0
111,-1.997149372,0.205916656,0
112,-1.883257686,0.350001797,0
113,-1.736992317,0.554601023,0
114,-1.971693547,0.41388375,0
115,-2.191730696,0.40595847,0
116,-2.241148612,0.328760713,0
117,-2.290942504,0.194701042,0
118,-1.928112636,0.364906737,0
119,-2.040402831,0.42950271,0
120,-2.062291993,0.2410804,0
121,-2.049641164,0.3863848,0
122,-2.006855733,0.55073321,0
123,-2.294797181,0.23928866,0
124,-2.173278611,0.333478121,0
125,-2.132382514,0.094661493,0
126,-2.06571833,0.282910871,0
127,-1.978282479,0.486257192,0
128,-1.831640433,0.433272008,0
129,-1.989835508,0.261156574,0
130,-1.859285924,0.112580906,0
131,-1.807463357,0.383936933,0
132,-1.861876346,0.342630394,0
133,-1.720806832,0.675461039,0
134,-2.152100404,0.268156523,0
135,-2.077101971,0.372852849,0
136,-1.922928433,0.341992733,0
137,-2.181370377,0.195810132,0
138,-1.78889134,0.529718139,0
139,-2.177674002,0.364334227,0
140,-2.047392916,0.514788295,0
141,-2.401339603,0.293943875,0
142,-2.088411806,0.473550409,0
143,-2.350313842,0.055976826,0
144,-1.888843491,0.378716913,0
145,-2.047019897,0.320306337,0
146,-1.993953785,0.230351878,0
147,-1.915682022,0.474683326,0
148,-1.909777582,0.304854108,0
149,-1.900139627,0.302169496,0
150,-2.178935364,0.316246345,0
151,-2.085332288,0.352440512,0
152,-1.993613428,0.370933055,0
153,-1.938485619,0.366003448,0
154,-1.90658839,0.332296441,0
155,-1.994085945,0.156002401,0
156,-1.879739648,0.452547823,0
157,-2.054971778,0.393336834,0
158,-1.943886459,0.252819046,0
159,-1.915402041,0.273903942,0
160,-1.918100044,0.408111873,0
161,-1.762081935,0.386534672,0
162,-1.858479883,0.340389267,0
163,-1.913190982,0.35417094,0
164,-1.853555898,0.412251119,0
165,-1.85792084,0.355989939,0
166,-1.989963846,0.229387612,0
167,-1.532467577,0.374776581,0
168,-1.822100417,0.348555672,0
169,-1.983858779,0.435260424,0
170,-1.971062148,0.492547294,0
171,-2.121837514,0.203838646,0
172,-1.860238545,0.37072359,0
173,-2.112775499,0.359160963,0
174,-1.976851877,0.399600835,0
175,-2.056279176,0.245470074,0
176,-1.905324403,0.378724734,0
177,-2.019703692,0.14563769,0
178,-1.840353977,0.19347062,0
179,-1.663160797,0.323469683,0
180,-1.481576905,0.493293278,0
181,-1.84312136,0.31572936,0
182,-1.537064329,0.281499294,0
183,-1.69019037,0.261722269,0
184,-1.665603216,0.52595433,0
185,-1.846622374,0.400472254,0
186,-1.99656792,0.229632116,0
187,-1.86955403,0.469733767,0
188,-1.739101766,0.423329348,0
189,-1.957159614,0.288935412,0
190,-1.754675352,0.388936781,0
191,-2.021373884,0.307038139,0
192,-1.874750169,0.33650099,0
193,-1.981908795,0.434885645,0
194,-2.024073582,0.263606129,0
195,-2.106605052,0.385079843,0
196,-1.942365577,0.26272669,0
197,-2.049662229,0.263497335,0
198,-1.770941921,0.467814992,0
199,-2.034800328,0.420309418,0
200,-1.924179789,0.5347822,0
201,-2.155908398,0.385875365,0
202,-2.184812953,0.156337938,0
203,-2.091255389,0.403747295,0
204,-2.06410259,0.33910742,0
205,-1.940578681,0.269972919,0
206,-2.005354871,0.169796271,0
207,-2.056766873,0.487582222,0
208,-1.876593112,0.240531705,0
209,-1.714624075,0.331288099,0
210,-1.912458591,0.498755318,0
211,-2.012996877,0.304934294,0
212,-1.793261856,0.469928012,0
213,-2.143552705,0.3710947,0
214,-2.247592322,0.289234937,0
215,-2.126780229,0.371482478,0
216,-2.111055388,0.495981096,0
217,-2.219590629,0.304967313,0
218,-2.228306481,0.245220393,0
219,-2.093695024,0.364264507,0
