,time,X-axis,Y-axis,X-velocity,Y-velocity,angle,angular_velocity,wind_speed,main_engine_power,left_right_engine_power
36,2016-04-08 00:00:36,-0.164318,1.0455567,-0.47367448,-0.5458929,-0.07033797,-0.009916247,-3.4315398,0.5490266,0.15105574
37,2016-04-08 00:00:37,-0.16901198,1.0331913,-0.46914524,-0.5495853,-0.070598744,-0.0052150446,-2.9948523,0.5436826,0.19123276
38,2016-04-08 00:00:38,-0.17382069,1.0206951,-0.48008347,-0.5554252,-0.071382724,-0.015679741,-2.5449488,0.59349585,0.083148226
39,2016-04-08 00:00:39,-0.17851934,1.008736,-0.46941572,-0.53154117,-0.07182025,-0.008750745,-2.0838091,0.4665251,0.22937624
40,2016-04-08 00:00:40,-0.18326731,0.9966405,-0.47408646,-0.5376135,-0.07251975,-0.013989752,-1.6136377,0.41331193,0.2657715
41,2016-04-08 00:00:41,-0.18789205,0.98435414,-0.46229863,-0.5460681,-0.07269415,-0.003488429,-1.1368234,0.37775865,0.3899002
42,2016-04-08 00:00:42,-0.19240561,0.9724304,-0.45151153,-0.5299362,-0.07254384,0.0030062427,-0.65588975,0.36909446,0.5576184
43,2016-04-08 00:00:43,-0.19678822,0.96075755,-0.43739343,-0.518839,-0.07339926,-0.017108383,-0.17343983,0.5902939,0.46549773
44,2016-04-08 00:00:44,-0.20127478,0.9489418,-0.44718948,-0.5252149,-0.07485105,-0.029035857,0.30790225,0.6373713,0.49123442
45,2016-04-08 00:00:45,-0.20569786,0.9372092,-0.44094402,-0.52151793,-0.07620116,-0.027002197,0.7855509,0.66618156,0.45368165
46,2016-04-08 00:00:46,-0.21006927,0.9260365,-0.43568945,-0.49664238,-0.0776391,-0.028758759,1.2570161,0.72277486,0.35822058
47,2016-04-08 00:00:47,-0.2143499,0.9149334,-0.426791,-0.49353155,-0.0788915,-0.025048021,1.7199556,0.83893573,0.3514533
48,2016-04-08 00:00:48,-0.21854429,0.90462655,-0.41814548,-0.4581514,-0.08017892,-0.025748145,2.1722202,0.9831381,0.28033382
49,2016-04-08 00:00:49,-0.22273454,0.8948297,-0.41735452,-0.4355063,-0.081832364,-0.03306893,2.6118903,1.0,0.17822565
50,2016-04-08 00:00:50,-0.22695732,0.8857587,-0.41998762,-0.40328044,-0.08409941,-0.045340918,3.0373013,1.0,-0.16558856
