,time,X,Y,theta_dt,torque
0,2024-04-19 00:00:00,0.35204402,0.9359834,0.63163424,-0.37422034
1,2024-04-19 00:00:01,0.29158133,0.95654607,1.2774887,0.88845766
2,2024-04-19 00:00:02,0.18833964,0.98210394,2.128167,1.1359657
3,2024-04-19 00:00:03,0.037705317,0.9992889,3.0351398,0.29647976
4,2024-04-19 00:00:04,-0.15313475,0.9882053,3.8290784,-1.0952109
5,2024-04-19 00:00:05,-0.36537647,0.93085986,4.4059505,0.8078195
6,2024-04-19 00:00:06,-0.5934195,0.8048933,5.2252684,0.98997647
7,2024-04-19 00:00:07,-0.80410737,0.59448415,5.977435,-0.273108
8,2024-04-19 00:00:08,-0.95001656,0.31219947,6.382332,1.1603177
9,2024-04-19 00:00:09,-0.9997576,-0.022017328,6.7905293,1.5874665
10,2024-04-19 00:00:10,-0.93137455,-0.3640624,7.012136,1.8969324
11,2024-04-19 00:00:11,-0.74928975,-0.6622423,7.023629,-1.9859573
12,2024-04-19 00:00:12,-0.5103023,-0.8599951,6.229054,1.9817712
13,2024-04-19 00:00:13,-0.23913033,-0.9709875,5.8813233,1.0437613
14,2024-04-19 00:00:14,0.02400994,-0.9997117,5.3096466,1.2476138
15,2024-04-19 00:00:15,0.258397,-0.9660388,4.747005,-1.9170586
16,2024-04-19 00:00:16,0.43326142,-0.9012683,3.7349172,-1.3540735
17,2024-04-19 00:00:17,0.5571096,-0.830439,2.855855,0.45926088
18,2024-04-19 00:00:18,0.64879274,-0.76096517,2.301915,1.9799271
19,2024-04-19 00:00:19,0.7224961,-0.691375,2.0281801,1.5687928
20,2024-04-19 00:00:20,0.77999276,-0.62578857,1.7449677,-1.5391908
21,2024-04-19 00:00:21,0.8116035,-0.58420867,1.0447477,0.4428107
22,2024-04-19 00:00:22,0.8307993,-0.55657214,0.6730128,1.1806486
23,2024-04-19 00:00:23,0.8426449,-0.53846973,0.43268096,1.993326
24,2024-04-19 00:00:24,0.8513575,-0.5245859,0.32782757,1.992522
25,2024-04-19 00:00:25,0.8574179,-0.5146208,0.23326646,1.9914634
26,2024-04-19 00:00:26,0.8611523,-0.5083471,0.14602038,1.9901543
27,2024-04-19 00:00:27,0.86275643,-0.50561976,0.0632832,1.9884814
28,2024-04-19 00:00:28,0.86230963,-0.50638133,-0.017659396,1.9849606
29,2024-04-19 00:00:29,0.8597746,-0.5106737,-0.09970131,1.9789557
30,2024-04-19 00:00:30,0.8549918,-0.51864153,-0.18586321,1.9681147
31,2024-04-19 00:00:31,0.84765714,-0.5305444,-0.27962714,-1.2509339
32,2024-04-19 00:00:32,0.8239206,-0.5667052,-0.86517555,1.7913116
33,2024-04-19 00:00:33,0.793914,-0.60803,-1.0215077,0.28739688
