,time,X,Y,theta_dt,torque
0,2024-01-31 00:00:00,-0.22860566,-0.9735191,-0.6937419,-1.1983787
1,2024-01-31 00:00:01,-0.30584618,-0.95208097,-1.603638,-1.9929756
2,2024-01-31 00:00:02,-0.42744017,-0.9040437,-2.616645,0.86605203
3,2024-01-31 00:00:03,-0.56455815,-0.8253933,-3.1647701,-1.5506034
4,2024-01-31 00:00:04,-0.7178562,-0.6961914,-4.0164056,-1.6627048
5,2024-01-31 00:00:05,-0.8624629,-0.5061204,-4.787955,-1.7821916
6,2024-01-31 00:00:06,-0.96666276,-0.25605294,-5.4348736,1.2120001
7,2024-01-31 00:00:07,-0.9999113,0.01331848,-5.4451137,0.969258
8,2024-01-31 00:00:08,-0.96165955,0.2742461,-5.289736,1.7075526
9,2024-01-31 00:00:09,-0.8682156,0.4961871,-4.8279185,-1.9999912
10,2024-01-31 00:00:10,-0.72690606,0.6867369,-4.755777,-1.9999673
11,2024-01-31 00:00:11,-0.55367416,0.83273345,-4.540719,-1.9999785
12,2024-01-31 00:00:12,-0.36716717,0.930155,-4.216166,-1.2488358
13,2024-01-31 00:00:13,-0.18951471,0.98187786,-3.7058752,-1.9998436
14,2024-01-31 00:00:14,-0.027192371,0.9996302,-3.2694433,-1.9996041
15,2024-01-31 00:00:15,0.113541946,0.9935332,-2.8196611,1.1768979
16,2024-01-31 00:00:16,0.20717475,0.97830397,-1.8979766,0.0035066516
17,2024-01-31 00:00:17,0.26371574,0.96460044,-1.1637226,-1.3167752
18,2024-01-31 00:00:18,0.294337,0.9557017,-0.6377886,0.00202589
19,2024-01-31 00:00:19,0.29054576,0.9568611,0.07929158,1.2227113
20,2024-01-31 00:00:20,0.2433129,0.9699479,0.9803441,1.6627027
21,2024-01-31 00:00:21,0.14738059,0.98907983,1.9572104,-0.95571655
22,2024-01-31 00:00:22,0.020134918,0.9997973,2.5556629,0.86897075
23,2024-01-31 00:00:23,-0.15107587,0.9885222,3.4358563,0.79782224
24,2024-01-31 00:00:24,-0.3583525,0.93358636,4.2969213,0.6591692
25,2024-01-31 00:00:25,-0.58209425,0.8131213,5.0959864,0.9795865
26,2024-01-31 00:00:26,-0.7919159,0.6106302,5.8527656,-1.8139625
27,2024-01-31 00:00:27,-0.9376729,0.34751904,6.038644,-0.3746808
28,2024-01-31 00:00:28,-0.9990855,0.042756855,6.243081,1.5483619
29,2024-01-31 00:00:29,-0.9603336,-0.27885368,6.507403,-1.5859063
30,2024-01-31 00:00:30,-0.8333701,-0.5527154,6.0603766,0.8648174
31,2024-01-31 00:00:31,-0.6414594,-0.76715696,5.775563,-0.9594921
32,2024-01-31 00:00:32,-0.42918077,-0.9032186,5.056271,-1.2559717
33,2024-01-31 00:00:33,-0.23193115,-0.9727322,4.190461,0.34372988
34,2024-01-31 00:00:34,-0.058405656,-0.9982929,3.5124717,1.9939208
35,2024-01-31 00:00:35,0.0945616,-0.99551904,3.0628402,-0.8784956
36,2024-01-31 00:00:36,0.202514,-0.9792794,2.1844265,0.4786086
37,2024-01-31 00:00:37,0.27636752,-0.961052,1.5217583,-1.7408268
38,2024-01-31 00:00:38,0.30220464,-0.9532431,0.5398452,-1.7444447
39,2024-01-31 00:00:39,0.28131762,-0.9596147,-0.43675375,-1.6643667
40,2024-01-31 00:00:40,0.21321155,-0.9770061,-1.4061198,0.93065816
41,2024-01-31 00:00:41,0.114644505,-0.9934066,-1.9992756,-1.4900893
42,2024-01-31 00:00:42,-0.033488795,-0.9994391,-2.967844,-0.3606712
43,2024-01-31 00:00:43,-0.22025049,-0.97544336,-3.771524,-0.7696237
44,2024-01-31 00:00:44,-0.4376638,-0.8991387,-4.61855,-0.9372715
45,2024-01-31 00:00:45,-0.66289103,-0.7487159,-5.4334946,-1.0604686
46,2024-01-31 00:00:46,-0.8585211,-0.5127782,-6.154102,-1.5313462
47,2024-01-31 00:00:47,-0.9800669,-0.19866772,-6.768388,-0.6498011
48,2024-01-31 00:00:48,-0.98865956,0.1501743,-7.0148587,-1.9764885
49,2024-01-31 00:00:49,-0.8724125,0.48877028,-7.198701,-1.7855111
50,2024-01-31 00:00:50,-0.64812464,0.7615343,-7.09995,1.0961226
51,2024-01-31 00:00:51,-0.3773195,0.92608315,-6.364381,-1.1543325
52,2024-01-31 00:00:52,-0.09461002,0.9955144,-5.8429685,1.4664412
53,2024-01-31 00:00:53,0.14851514,0.98891014,-4.8763666,-0.054235905
54,2024-01-31 00:00:54,0.34872237,0.93722606,-4.1428194,-1.1954179
55,2024-01-31 00:00:55,0.51170504,0.8591612,-3.6192124,-0.12673864
56,2024-01-31 00:00:56,0.63411295,0.77324045,-2.9938524,-0.61232597
57,2024-01-31 00:00:57,0.72576743,0.6879401,-2.505771,-1.1470811
58,2024-01-31 00:00:58,0.79574895,0.60562664,-2.1618779,1.280397
59,2024-01-31 00:00:59,0.83931565,0.5436444,-1.5155984,0.4129096
60,2024-01-31 00:01:00,0.86658585,0.499028,-1.0459286,-0.9930414
61,2024-01-31 00:01:01,0.88632625,0.46306133,-0.82061386,-1.3811268
62,2024-01-31 00:01:02,0.90156555,0.4326425,-0.68048686,0.8347445
63,2024-01-31 00:01:03,0.90649796,0.42221016,-0.23079331,-1.9998053
64,2024-01-31 00:01:04,0.91096586,0.41248178,-0.2141065,-1.9997326
65,2024-01-31 00:01:05,0.9151399,0.40313637,-0.20470506,-1.9995662
66,2024-01-31 00:01:06,0.9191705,0.39385983,-0.20228772,-1.9991211
67,2024-01-31 00:01:07,0.92319304,0.38433653,-0.206761,1.5569102
68,2024-01-31 00:01:08,0.91702497,0.39882982,0.31502792,-0.547905
69,2024-01-31 00:01:09,0.90609366,0.4230771,0.53196454,0.6143179
70,2024-01-31 00:01:10,0.88518274,0.4652435,0.9414201,-1.9999995
71,2024-01-31 00:01:11,0.8610694,0.50848746,0.99035275,-1.9999989
72,2024-01-31 00:01:12,0.8325987,0.5538767,1.0717185,-1.999997
73,2024-01-31 00:01:13,0.79827565,0.6022923,1.1871265,-1.999991
74,2024-01-31 00:01:14,0.7561989,0.6543418,1.338847,-1.9999729
75,2024-01-31 00:01:15,0.70399284,0.71020705,1.5296074,-1.9998912
76,2024-01-31 00:01:16,0.6387635,0.76940316,1.762279,-1.9994307
77,2024-01-31 00:01:17,0.5571246,0.8304289,2.0394168,-1.9956658
