,time,X,Y,theta_dt,torque
0,2024-02-27 00:00:00,0.8585963,-0.5126523,-0.7461234,-1.3192513
1,2024-02-27 00:00:01,0.82267493,-0.5685121,-1.3285003,1.7426629
2,2024-02-27 00:00:02,0.7779685,-0.6283033,-1.493485,-0.4168894
3,2024-02-27 00:00:03,0.71039814,-0.7038001,-2.0272458,1.9814814
4,2024-02-27 00:00:04,0.62659,-0.7793491,-2.2578735,1.0711327
5,2024-02-27 00:00:05,0.51677895,-0.85611886,-2.6817155,1.0420507
6,2024-02-27 00:00:06,0.3752898,-0.92690754,-3.1674972,-0.24199128
7,2024-02-27 00:00:07,0.18862377,-0.9820494,-3.8989763,-1.0094318
8,2024-02-27 00:00:08,-0.049565516,-0.9987709,-4.786928,-0.31292167
9,2024-02-27 00:00:09,-0.3228442,-0.94645214,-5.582945,-1.4446678
10,2024-02-27 00:00:10,-0.6085304,-0.7935306,-6.509484,-0.7265113
11,2024-02-27 00:00:11,-0.84942126,-0.5277153,-7.2136087,-0.83857346
12,2024-02-27 00:00:12,-0.98572826,-0.16834413,-7.735181,1.428941
13,2024-02-27 00:00:13,-0.9773577,0.21159373,-7.647098,-1.9525245
14,2024-02-27 00:00:14,-0.8240521,0.566514,-7.7812815,-0.689349
15,2024-02-27 00:00:15,-0.5609534,0.82784736,-7.4597983,1.0986131
16,2024-02-27 00:00:16,-0.25884956,0.96591765,-6.674121,1.9613198
17,2024-02-27 00:00:17,0.02094171,0.9997807,-5.6554847,1.3142732
18,2024-02-27 00:00:18,0.25356954,0.96731716,-4.708508,-1.0434687
19,2024-02-27 00:00:19,0.44694352,0.8945622,-4.1395407,-0.20719776
20,2024-02-27 00:00:20,0.5958556,0.8030916,-3.4996984,0.46655616
21,2024-02-27 00:00:21,0.7030664,0.7111242,-2.8273964,1.07183
22,2024-02-27 00:00:22,0.7747783,0.632233,-2.1332786,0.82420844
23,2024-02-27 00:00:23,0.8209872,0.5709466,-1.5354726,-0.0013333233
24,2024-02-27 00:00:24,0.85132784,0.52463406,-1.1074628,1.7955319
25,2024-02-27 00:00:25,0.86278063,0.5055785,-0.44465742,-1.9998857
26,2024-02-27 00:00:26,0.8718744,0.48972955,-0.3654564,0.71764916
27,2024-02-27 00:00:27,0.8691804,0.49449518,0.10948812,-1.9999509
28,2024-02-27 00:00:28,0.86468554,0.5023135,0.18036687,1.8911904
29,2024-02-27 00:00:29,0.84281105,0.53820956,0.84078056,1.5140749
30,2024-02-27 00:00:30,0.8009664,0.59870934,1.471549,1.668385
31,2024-02-27 00:00:31,0.73139524,0.68195385,2.1708388,-1.9999982
32,2024-02-27 00:00:32,0.64517355,0.76403606,2.3823044,0.002685683
33,2024-02-27 00:00:33,0.525637,0.85070896,2.9557343,-1.9997749
34,2024-02-27 00:00:34,0.37905395,0.92537457,3.2937996,-1.9655676
35,2024-02-27 00:00:35,0.20270938,0.9792389,3.6929955,-1.7725673
36,2024-02-27 00:00:36,-0.0039530257,0.9999922,4.1615396,-0.9655067
37,2024-02-27 00:00:37,-0.23992483,0.97079146,4.766708,0.5583882
38,2024-02-27 00:00:38,-0.49793538,0.86721414,5.5785594,0.9653153
39,2024-02-27 00:00:39,-0.74457955,0.6675337,6.3737674,1.013043
40,2024-02-27 00:00:40,-0.928823,0.37052375,7.0263743,0.75839704
41,2024-02-27 00:00:41,-0.9999624,0.00867139,7.4180264,1.667369
42,2024-02-27 00:00:42,-0.93048555,-0.36632863,7.6746354,0.51905227
43,2024-02-27 00:00:43,-0.7324058,-0.6808684,7.477747,1.1279411
44,2024-02-27 00:00:44,-0.44845352,-0.89380616,7.1362867,0.7527711
45,2024-02-27 00:00:45,-0.13567227,-0.99075377,6.578848,0.91053283
46,2024-02-27 00:00:46,0.16181158,-0.98682165,5.9723625,-1.9946438
47,2024-02-27 00:00:47,0.3978559,-0.9174479,4.9330497,1.1411399
48,2024-02-27 00:00:48,0.5891329,-0.80803615,4.416135,1.4872046
49,2024-02-27 00:00:49,0.7390404,-0.6736611,4.0331883,-1.9999815
