,time,X,Y,theta_dt,torque
0,2024-01-30 00:00:00,-0.3465975,0.938014,0.9710466,-0.58213145
1,2024-01-30 00:00:01,-0.419871,0.9075838,1.5872374,1.9756827
2,2024-01-30 00:00:02,-0.53247094,0.8464483,2.5642776,1.5467565
3,2024-01-30 00:00:03,-0.66915673,0.7431213,3.4311273,1.4593593
4,2024-01-30 00:00:04,-0.80958337,0.5870049,4.207372,0.4414486
5,2024-01-30 00:00:05,-0.9242759,0.38172522,4.7138433,0.50143695
6,2024-01-30 00:00:06,-0.9905076,0.1374579,5.0753527,1.9957095
7,2024-01-30 00:00:07,-0.9907668,-0.1355768,5.4778023,1.9993554
8,2024-01-30 00:00:08,-0.91317177,-0.4075749,5.676023,1.9996812
9,2024-01-30 00:00:09,-0.7627047,-0.64674693,5.6702943,1.9998019
10,2024-01-30 00:00:10,-0.5590376,-0.82914233,5.485204,1.8129405
11,2024-01-30 00:00:11,-0.33014783,-0.94392926,5.1352887,1.9983023
12,2024-01-30 00:00:12,-0.09993873,-0.99499357,4.727087,1.6257614
13,2024-01-30 00:00:13,0.11090087,-0.99383146,4.224706,-1.6216495
14,2024-01-30 00:00:14,0.2695577,-0.96298426,3.236085,0.2562427
15,2024-01-30 00:00:15,0.38992292,-0.9208475,2.5522833,1.930956
16,2024-01-30 00:00:16,0.48652902,-0.87366444,2.1512911,-1.1126827
17,2024-01-30 00:00:17,0.5434734,-0.8394264,1.3291403,1.7745229
18,2024-01-30 00:00:18,0.58335793,-0.8122152,0.96574897,-1.529542
19,2024-01-30 00:00:19,0.58851004,-0.8084899,0.1271563,0.6374458
20,2024-01-30 00:00:20,0.5728961,-0.81962794,-0.38359424,0.947457
21,2024-01-30 00:00:21,0.53729385,-0.8433951,-0.8561967,1.4523852
22,2024-01-30 00:00:22,0.48265257,-0.8758119,-1.2708852,0.35608476
23,2024-01-30 00:00:23,0.39857662,-0.91713506,-1.8743315,-1.3557043
24,2024-01-30 00:00:24,0.26835734,-0.9633194,-2.7655385,-0.58486456
25,2024-01-30 00:00:25,0.092765965,-0.99568796,-3.5757577,-0.312355
26,2024-01-30 00:00:26,-0.12523958,-0.9921265,-4.3693767,-0.52398
27,2024-01-30 00:00:27,-0.37571925,-0.92673355,-5.1920686,-0.7213585
28,2024-01-30 00:00:28,-0.6326257,-0.7744577,-5.9953227,-0.8959
29,2024-01-30 00:00:29,-0.852352,-0.5229685,-6.710551,0.7401603
30,2024-01-30 00:00:30,-0.97991884,-0.19939671,-6.991753,0.40262634
31,2024-01-30 00:00:31,-0.9882721,0.15270333,-7.080907,-1.9745855
32,2024-01-30 00:00:32,-0.86958677,0.49378014,-7.262567,-1.7455832
33,2024-01-30 00:00:33,-0.6416606,0.7669887,-7.1540694,1.2315024
34,2024-01-30 00:00:34,-0.36809212,0.9297893,-6.3941026,1.7268258
35,2024-01-30 00:00:35,-0.1048762,0.99448526,-5.437737,-0.027659986
36,2024-01-30 00:00:36,0.12936808,0.99159664,-4.696022,-1.6276695
37,2024-01-30 00:00:37,0.33306792,0.94290286,-4.1964746,-1.2720267
38,2024-01-30 00:00:38,0.49996686,0.8660445,-3.6801016,-0.17649618
39,2024-01-30 00:00:39,0.62599957,0.7798234,-3.0570426,0.3870061
40,2024-01-30 00:00:40,0.7153458,0.69877064,-2.4141243,0.35519788
